date,subscribers
2017-01-01,161595
2017-01-02,161595
2017-01-03,161595
2017-01-04,161595
2017-01-05,161596
2017-01-06,161596
2017-01-07,161596
2017-01-08,161596
2017-01-09,161596
2017-01-10,161596
2017-01-11,161596
2017-01-12,161596
2017-01-13,161596
2017-01-14,161596
2017-01-15,161596
2017-01-16,161596
2017-01-17,161596
2017-01-18,161596
2017-01-19,161596
2017-01-20,161596
2017-01-21,161596
2017-01-22,161596
2017-01-23,161596
2017-01-24,161596
2017-01-25,161596
2017-01-26,161596
2017-01-27,161596
2017-01-28,161596
2017-01-29,161596
2017-01-30,161596
2017-01-31,161596
2017-02-01,161596
2017-02-02,161596
2017-02-03,161596
2017-02-04,161596
2017-02-05,161596
2017-02-06,161596
2017-02-07,161596
2017-02-08,161596
2017-02-09,161596
2017-02-10,161596
2017-02-11,161596
2017-02-12,161596
2017-02-13,161596
2017-02-14,161596
2017-02-15,161596
2017-02-16,161596
2017-02-17,161596
2017-02-18,161596
2017-02-19,161596
2017-02-20,161596
2017-02-21,161596
2017-02-22,161596
2017-02-23,161596
2017-02-24,161596
2017-02-25,161596
2017-02-26,161597
2017-02-27,161597
2017-02-28,161597
2017-03-01,161597
2017-03-02,161597
2017-03-03,161597
2017-03-04,161597
2017-03-05,161597
2017-03-06,161597
2017-03-07,161598
2017-03-08,161598
2017-03-09,161598
2017-03-10,161598
2017-03-11,161598
2017-03-12,161598
2017-03-13,161598
2017-03-14,161598
2017-03-15,161598
2017-03-16,161598
2017-03-17,161598
2017-03-18,161598
2017-03-19,161598
2017-03-20,161598
2017-03-21,161598
2017-03-22,161598
2017-03-23,161598
2017-03-24,161598
2017-03-25,161598
2017-03-26,161598
2017-03-27,161598
2017-03-28,161598
2017-03-29,161598
2017-03-30,161598
2017-03-31,161598
2017-04-01,161598
2017-04-02,161598
2017-04-03,161598
2017-04-04,161598
2017-04-05,161598
2017-04-06,161598
2017-04-07,161598
2017-04-08,161598
2017-04-09,161598
2017-04-10,161598
2017-04-11,161598
2017-04-12,161597
2017-04-13,161597
2017-04-14,161597
2017-04-15,161597
2017-04-16,161597
2017-04-17,161597
2017-04-18,161597
2017-04-19,161597
2017-04-20,161597
2017-04-21,161597
2017-04-22,161597
2017-04-23,161597
2017-04-24,161597
2017-04-25,161597
2017-04-26,161597
2017-04-27,161597
2017-04-28,161597
2017-04-29,161597
2017-04-30,161597
2017-05-01,161597
2017-05-02,161597
2017-05-03,161597
2017-05-04,161597
2017-05-05,161597
2017-05-06,161597
2017-05-07,161597
2017-05-08,161597
2017-05-09,161597
2017-05-10,161597
2017-05-11,161597
2017-05-12,161597
2017-05-13,161597
2017-05-14,161597
2017-05-15,161597
2017-05-16,161597
2017-05-17,161597
2017-05-18,161597
2017-05-19,161597
2017-05-20,161597
2017-05-21,161597
2017-05-22,161597
2017-05-23,161597
2017-05-24,161597
2017-05-25,161597
2017-05-26,161597
2017-05-27,161597
2017-05-28,161597
2017-05-29,161597
2017-05-30,161597
2017-05-31,161597
2017-06-01,161597
2017-06-02,161597
2017-06-03,161598
2017-06-04,161598
2017-06-05,161598
2017-06-06,161598
2017-06-07,161598
2017-06-08,161598
2017-06-09,161598
2017-06-10,161598
2017-06-11,161598
2017-06-12,161598
2017-06-13,161598
2017-06-14,161598
2017-06-15,161598
2017-06-16,161598
2017-06-17,161598
2017-06-18,161598
2017-06-19,161598
2017-06-20,161598
2017-06-21,161598
2017-06-22,161598
2017-06-23,161598
2017-06-24,161598
2017-06-25,161598
2017-06-26,161598
2017-06-27,161598
2017-06-28,161598
2017-06-29,161598
2017-06-30,161598
2017-07-01,161598
2017-07-02,161598
2017-07-03,161598
2017-07-04,161598
2017-07-05,161598
2017-07-06,161598
2017-07-07,161598
2017-07-08,161598
2017-07-09,161598
2017-07-10,161598
2017-07-11,161597
2017-07-12,161597
2017-07-13,161597
2017-07-14,161597
2017-07-15,161597
2017-07-16,161597
2017-07-17,161597
2017-07-18,161597
2017-07-19,161597
2017-07-20,161597
2017-07-21,161597
2017-07-22,161597
2017-07-23,161597
2017-07-24,161597
2017-07-25,161597
2017-07-26,161597
2017-07-27,161597
2017-07-28,161597
2017-07-29,161597
2017-07-30,161597
2017-07-31,161597
2017-08-01,161597
2017-08-02,161597
2017-08-03,161597
2017-08-04,161597
2017-08-05,161597
2017-08-06,161597
2017-08-07,161597
2017-08-08,161597
2017-08-09,161597
2017-08-10,161597
2017-08-11,161597
2017-08-12,161597
2017-08-13,161597
2017-08-14,161597
2017-08-15,161597
2017-08-16,161597
2017-08-17,161597
2017-08-18,161597
2017-08-19,161597
2017-08-20,161597
2017-08-21,161597
2017-08-22,161597
2017-08-23,161597
2017-08-24,161597
2017-08-25,161597
2017-08-26,161597
2017-08-27,161597
2017-08-28,161597
2017-08-29,161597
2017-08-30,161597
2017-08-31,161597
2017-09-01,161597
2017-09-02,161597
2017-09-03,161597
2017-09-04,161597
2017-09-05,161597
2017-09-06,161597
2017-09-07,161597
2017-09-08,161597
2017-09-09,161597
2017-09-10,161597
2017-09-11,161597
2017-09-12,161597
2017-09-13,161597
2017-09-14,161597
2017-09-15,161597
2017-09-16,161597
2017-09-17,161597
2017-09-18,161597
2017-09-19,161597
2017-09-20,161597
2017-09-21,161597
2017-09-22,161597
2017-09-23,161597
2017-09-24,161597
2017-09-25,161597
2017-09-26,161597
2017-09-27,161597
2017-09-28,161597
2017-09-29,161597
2017-09-30,161597
2017-10-01,161597
2017-10-02,161597
2017-10-03,161597
2017-10-04,161597
2017-10-05,161597
2017-10-06,161597
2017-10-07,161597
2017-10-08,161597
2017-10-09,161597
2017-10-10,161597
2017-10-11,161597
2017-10-12,161597
2017-10-13,161597
2017-10-14,161597
2017-10-15,161597
2017-10-16,161597
2017-10-17,161597
2017-10-18,161597
2017-10-19,161597
2017-10-20,161597
2017-10-21,161597
2017-10-22,161597
2017-10-23,161597
2017-10-24,161597
2017-10-25,161597
2017-10-26,161597
2017-10-27,161597
